source,org-name,prefix_root,prefix,created,netname,org,mnt-by,last-modified,exact_origin,country_root,country
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.2.0/24,,Ezlink_Cloud_Technology_Co_Limited,,CIL1-MNT,,AS135293,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.3.0/24,,Ezlink_Cloud_Technology_Co_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS135293,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.4.0/24,,Nour_Communications,,CIL1-MNT LARUS-SERVICE-MNT,,AS46071,SC,SA
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.6.0/24,,Profit_Tech_LLP,,CIL1-MNT LARUS-SERVICE-MNT,,AS135330,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.8.0/24,,Sprious_LLC,,CIL1-MNT LARUS-SERVICE-MNT,,AS64267,SC,IN
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.9.0/24,,Sprious_LLC,,CIL1-MNT LARUS-SERVICE-MNT,,AS397630,SC,MX
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.10.0/24,,Sprious_LLC,,CIL1-MNT LARUS-SERVICE-MNT,,AS397630,SC,SG
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.11.0/24,,Sprious_LLC,,CIL1-MNT LARUS-SERVICE-MNT,,AS64267,SC,NL
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.12.0/24,,Sprious_LLC,,CIL1-MNT LARUS-SERVICE-MNT,,AS64267,SC,NL
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.15.0/24,,Sprious_LLC,,CIL1-MNT LARUS-SERVICE-MNT,,AS397630,SC,MX
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.16.0/24,,CenturyNetworks_LTD,,CIL1-MNT LARUS-SERVICE-MNT,,AS40065,SC,US
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.17.0/24,,CenturyNetworks_LTD,,CIL1-MNT LARUS-SERVICE-MNT,,AS40065;AS40065;AS40065;AS40065,SC,US
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.18.0/24,,CenturyNetworks_LTD,,CIL1-MNT LARUS-SERVICE-MNT,,AS40065,SC,US
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.19.0/24,,CenturyNetworks_LTD,,CIL1-MNT LARUS-SERVICE-MNT,,AS40065;AS40065;AS40065,SC,US
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.20.0/24,,Cloud_Innovation,,CIL1-MNT LARUS-SERVICE-MNT,,AS45102,SC,US
