Unnamed: 0,prefix,provider,origin,time,as_path,scrubber
290,69.10.42.0/24,396998,19318,1733218858,"['13030', '1299', '3257', '396998', '19318']",396998
291,69.10.42.0/24,396998,19318,1733218858,"['13030', '1299', '3257', '396998', '19318']",396998
292,69.10.42.0/24,396998,19318,1733218858,"['13030', '1299', '3257', '396998', '19318']",396998
293,69.10.42.0/24,396998,19318,1733218858,"['8218', '6461', '3257', '396998', '19318']",396998
294,69.10.42.0/24,396998,19318,1733218858,"['6830', '3257', '396998', '19318']",396998
295,69.10.42.0/24,396998,19318,1733218858,"['6461', '3257', '396998', '19318']",396998
296,69.10.42.0/24,396998,19318,1733218858,"['3214', '396998', '19318']",396998
297,69.10.42.0/24,396998,19318,1733218858,"['57406', '396998', '19318']",396998
298,69.10.42.0/24,396998,19318,1733218858,"['209650', '34927', '396998', '19318']",396998
299,69.10.42.0/24,396998,19318,1733218858,"['6461', '3257', '396998', '19318']",396998
300,69.10.42.0/24,396998,19318,1733218858,"['6461', '3257', '396998', '19318']",396998
301,69.10.42.0/24,396998,19318,1733218858,"['49544', '396998', '19318']",396998
302,69.10.42.0/24,396998,19318,1733218858,"['199938', '201709', '5405', '396998', '19318']","5405,396998"
303,69.10.42.0/24,396998,19318,1733218858,"['199938', '201709', '5405', '396998', '19318']","5405,396998"
304,69.10.42.0/24,396998,19318,1733218858,"['199938', '1299', '3257', '396998', '19318']",396998
305,69.10.42.0/24,396998,19318,1733218858,"['199938', '1299', '3257', '396998', '19318']",396998
306,69.10.42.0/24,396998,19318,1733218858,"['41047', '24961', '396998', '19318']",396998
307,69.10.42.0/24,396998,19318,1733218858,"['42541', '1299', '3257', '396998', '19318']",396998
308,69.10.42.0/24,396998,19318,1733218858,"['42541', '1299', '3257', '396998', '19318']",396998
309,69.10.42.0/24,396998,19318,1733218858,"['24482', '396998', '19318']",396998
310,69.10.42.0/24,396998,19318,1733218858,"['1103', '2603', '9002', '396998', '19318']",396998
311,69.10.42.0/24,396998,19318,1733218858,"['6830', '3257', '396998', '19318']",396998
312,69.10.42.0/24,396998,19318,1733218858,"['6453', '3257', '396998', '19318']",396998
313,69.10.42.0/24,396998,19318,1733218858,"['8283', '396998', '19318']",396998
