,Unnamed: 0.1,Unnamed: 0,target_ip,nr_attacker_ips,nr_attacker_ports,nr_target_ports,nr_packets,nr_bytes,max_ppm,start_posix_time,end_posix_time,asn,country-code,continent-code,date
4684807,3961260,5691,180.254.67.43,186,1,547,556,22240,42,1626195600,1626196507,7713,ID,AS,2021-07-13
4684906,3961359,5790,183.128.81.91,59,1,59,19,760,40,1626196653,1626196875,4134,CN,AS,2021-07-13
4684922,3961375,5806,184.56.110.255,1107,3,2,1107,53152,72,1626195701,1626196869,10796,US,,2021-07-13
4684934,3961387,5818,184.90.134.151,5958,1,1,5960,286080,2977,1626192070,1626192299,33363,US,,2021-07-13
4684935,3961388,5819,184.90.134.151,822,1,1,823,39504,376,1626195838,1626196138,33363,US,,2021-07-13
4684943,3961396,5827,185.113.141.12,1002,999,1,1002,56572,168,1626198115,1626198528,204094,PT,EU,2021-07-13
4684958,3961411,5842,185.136.68.145,1,38,1,183,8784,44,1626192033,1626192299,60977,GB,EU,2021-07-13
4684959,3961412,5843,185.136.68.145,1,200,1,992,47616,48,1626195604,1626197059,60977,GB,EU,2021-07-13
4684976,3961429,5860,185.136.68.153,1,171,1,823,39504,44,1626197062,1626198316,60977,GB,EU,2021-07-13
4684990,3961443,5874,185.145.97.89,1501,1485,1,1501,122844,330,1626192000,1626192299,54290,NL,EU,2021-07-13
4684992,3961445,5876,185.156.73.60,227372,58517,2,232064,10262544,106321,1626197760,1626198171,44446,RU,EU,2021-07-13
4684993,3961446,5877,185.156.73.60,236567,58946,2,241653,10703260,103222,1626198480,1626198621,44446,RU,EU,2021-07-13
4685001,3961454,5885,185.166.232.88,321,1,1,322,152448,238,1626195772,1626195856,39806,SE,EU,2021-07-13
4685018,3961471,5902,185.224.138.69,7896,1,1,7901,379248,6511,1626196575,1626196819,47583,CY,EU,2021-07-13
4685023,3961476,5907,185.239.239.69,28730,17574,1,28329,1177644,13997,1626196482,1626196917,30823,DE,EU,2021-07-13
4685033,3961486,5917,185.253.163.138,64,64,36,128,32320,40,1626192002,1626192296,9009,MN,AS,2021-07-13
4685112,3961565,5996,187.190.24.154,1,1,2,10,1660,30,1626196136,1626196311,17072,MX,,2021-07-13
4685154,3961607,6038,188.164.9.138,138,2,16,151,6040,43,1626192000,1626192292,39356,ZA,AF,2021-07-13
4685178,3961631,6062,188.93.233.87,2567,2520,1,2568,149651,534,1626192000,1626192299,47674,PT,EU,2021-07-13
4685181,3961634,6065,189.103.141.75,1,1,1,59,12646,42,1626197683,1626197835,28573,BR,SA,2021-07-13
4685188,3961641,6072,189.214.166.45,164,1,1,164,6560,41,1626192003,1626192298,28509,MX,,2021-07-13
4685189,3961642,6073,189.214.166.45,307,1,1,307,12280,47,1626195601,1626196221,28509,MX,,2021-07-13
4685228,3961681,6112,190.194.59.168,401,3,452,452,18080,195,1626192006,1626192292,7303,AR,SA,2021-07-13
4685245,3961698,6129,191.6.122.45,1,1,1,142,29356,30,1626196233,1626196825,262753,BR,SA,2021-07-13
4685255,3961708,6139,192.168.1.139,58,1,1,58,2320,52,1626197753,1626197819,,??,??,2021-07-13
4685256,3961709,6140,192.168.20.1,20107,17394,1,20172,806880,1441,1626195827,1626197612,,??,??,2021-07-13
4685267,3961720,6151,192.198.80.244,167,1,2,167,94520,47,1626192000,1626192295,31863,US,,2021-07-13
4685300,3961753,6184,193.213.29.252,194,1,1,194,7760,51,1626192008,1626192292,2119,NO,EU,2021-07-13
4685316,3961769,6200,193.23.160.48,17260,11536,1,17193,687720,11170,1626196781,1626196942,30823,DE,EU,2021-07-13
4685325,3961778,6209,193.248.227.213,199,1,198,199,7960,50,1626192001,1626192299,3215,FR,EU,2021-07-13
4685344,3961797,6228,193.92.145.125,249,1,1,249,9960,62,1626192001,1626192298,1241,GR,EU,2021-07-13
4685354,3961807,6238,193.92.145.135,230,1,1,230,9200,56,1626192000,1626192299,1241,GR,EU,2021-07-13
4685370,3961823,6254,195.206.181.45,3522,2980,1,3747,393350,3739,1626196093,1626196196,25369,GB,EU,2021-07-13
4685381,3961834,6265,195.226.5.202,224,222,1,224,12619,56,1626192000,1626192299,15623,CH,EU,2021-07-13
4685402,3961855,6286,196.155.4.138,283,2,321,194,7760,218,1626197676,1626197842,36935,EG,AF,2021-07-13
4685417,3961870,6301,197.157.230.204,7,9,1,56,2240,31,1626192001,1626192278,37129,KE,AF,2021-07-13
4685429,3961882,6313,197.157.230.205,9,13,1,87,3480,36,1626192005,1626192299,37129,KE,AF,2021-07-13
4685434,3961887,6318,197.157.231.160,4,13,1,129,5160,79,1626196909,1626197768,37129,KE,AF,2021-07-13
4685440,3961893,6324,197.253.32.178,100,1,100,183,7320,40,1626192000,1626192299,37282,NG,AF,2021-07-13
4685464,3961917,6348,198.27.103.212,21280,18002,1,21299,851960,17533,1626196037,1626196206,16276,CA,,2021-07-13
4685481,3961934,6365,199.232.46.2,1,1,1,39,1560,31,1626195645,1626196256,54113,SG,AS,2021-07-13
4685504,3961957,6388,2.223.170.142,402,1,1,193,9264,245,1626196149,1626196249,5607,GB,EU,2021-07-13
4685533,3961986,6417,200.24.157.1,1,1,33,200,80000,163,1626195642,1626195752,264668,EC,SA,2021-07-13
4685540,3961993,6424,201.108.33.133,1,1,1,22,3652,44,1626198569,1626198631,8151,MX,,2021-07-13
4685615,3962068,6499,202.168.112.16,7,13,2,42,1680,36,1626195899,1626197002,10122,SG,AS,2021-07-13
4685641,3962094,6525,202.60.122.60,25,23,41,70,2800,32,1626195626,1626195890,37970,CN,AS,2021-07-13
4685659,3962112,6543,203.248.175.71,794,3,3066,3177,127080,732,1626192000,1626192299,3786,KR,AS,2021-07-13
4685669,3962122,6553,203.248.175.72,807,3,3148,3232,129280,751,1626192000,1626192299,3786,KR,AS,2021-07-13
4685720,3962173,6604,208.74.121.82,1,15,7,147,8820,40,1626197701,1626197952,33522,US,,2021-07-13
4685733,3962186,6617,208.74.121.83,1,15,7,150,9000,40,1626197475,1626197725,33522,US,,2021-07-13
